,8,9,10,11,12
334,93,144,127,1332,275
335,221,153,553,840,754
336,203,116,335,1006,694
337,182,141,394,631,659
338,203,345,181,585,438
339,100,394,142,375,376
340,87,241,151,512,376
341,96,410,708,823,937
342,151,315,589,214,462
343,128,222,240,684,1631
344,85,358,400,580,514
345,116,406,723,457,355
346,118,243,589,301,288
347,141,324,412,948,297
348,213,218,450,367,591
349,116,199,229,340,1560
350,221,111,244,306,669
351,113,425,482,478,374
352,179,170,584,300,191
353,127,252,303,494,755
354,142,462,577,403,1151
355,213,207,622,583,283
356,148,328,258,378,1165
357,239,243,363,342,624
358,236,219,834,623,391
359,72,311,359,590,772
360,101,148,544,381,952
361,87,145,207,368,1489
362,207,158,474,572,665
363,129,164,584,352,1189
364,98,92,253,252,475
365,117,306,802,544,947
366,141,216,671,931,500
367,178,164,382,474,1273
368,96,181,577,396,589
369,203,423,582,252,282
370,207,154,277,319,249
371,193,377,296,438,348
372,106,163,333,533,1233
373,145,193,539,535,664
374,123,435,275,271,1132
375,181,321,429,213,395
376,201,257,254,549,329
377,165,217,202,264,1164
378,143,318,550,200,411
379,126,231,423,209,1771
380,229,108,279,533,713
381,103,250,494,282,279
382,158,200,559,293,809
383,119,396,460,230,621
384,185,145,178,339,952
385,130,208,248,376,194
386,187,353,192,205,257
387,106,285,228,184,886
388,120,146,127,450,542
389,78,315,170,370,1146
390,86,432,241,1165,266
391,99,265,168,640,800
392,91,187,427,1159,204
393,164,163,285,833,659
394,82,92,570,505,271
395,84,153,400,849,695
396,93,235,383,360,1431
397,126,128,133,489,482
398,208,135,126,819,572
399,176,129,173,405,1483
400,96,254,165,882,480
401,138,393,224,226,426
402,109,139,207,373,900
403,84,361,170,575,644
404,166,203,324,427,1075
405,154,164,352,668,491
406,105,314,176,550,1087
407,157,226,263,696,397
408,109,138,153,922,466
409,143,183,114,237,506
410,173,138,267,768,232
411,186,354,215,737,537
412,80,115,169,868,1088
413,99,219,156,573,361
414,184,205,124,529,699
415,151,149,245,669,929
416,209,173,160,513,460
417,150,103,307,167,289
418,127,121,323,324,772
419,197,261,683,410,755
420,138,83,564,410,369
421,152,181,481,167,321
422,90,301,411,697,211
423,107,108,207,857,631
424,158,365,542,1017,645
425,221,88,635,180,609
426,232,194,486,866,943
427,209,248,473,422,425
428,228,228,202,608,668
429,237,237,410,357,1565
430,150,181,831,330,1201
431,173,240,651,279,422
432,127,192,633,667,1587
433,125,138,177,915,320
434,76,298,198,625,670
435,80,270,681,894,544
436,96,117,435,295,348
