,leaf_cnt,leaf_val,logloss,n_estimators,n_train,reg_alpha,reg_lambda,seed
81,131.838709677,0.0136635856011,0.317307505731,217,10000,2.56,0.0,235
82,132.709677419,0.0137267712022,0.317087194981,217,10000,2.56,0.0,236
83,132.235023041,0.0136995614535,0.317995866227,217,10000,2.56,0.0,237
84,83.5685714286,0.00693352639676,0.326942888919,350,10000,5.12,0.0,234
85,83.5885714286,0.00700828565802,0.325742953902,350,10000,5.12,0.0,235
86,83.9685714286,0.00697332822862,0.32786165981,350,10000,5.12,0.0,236
87,83.0542857143,0.00693644238266,0.326052119996,350,10000,5.12,0.0,237
88,124.664516129,0.0563756382303,0.317235672009,155,10000,0.0,0.4,234
89,124.580645161,0.0564607977144,0.315464712081,155,10000,0.0,0.4,235
90,121.806451613,0.0569031037268,0.318901395463,155,10000,0.0,0.4,236
91,126.367741935,0.0558984446476,0.315644691412,155,10000,0.0,0.4,237
92,123.726744186,0.0468726352249,0.317736045689,172,10000,0.0,0.8,234
93,122.436046512,0.046797329112,0.31557948923,172,10000,0.0,0.8,235
94,124.418604651,0.0472860164881,0.315091700367,172,10000,0.0,0.8,236
95,124.86627907,0.0467304850964,0.314996622329,172,10000,0.0,0.8,237
96,126.648241206,0.0362455108829,0.315547776934,199,10000,0.0,1.6,234
97,124.804020101,0.0365127607242,0.316560009963,199,10000,0.0,1.6,235
98,125.668341709,0.0362425825502,0.313734071644,199,10000,0.0,1.6,236
99,127.025125628,0.0359325849638,0.314565258469,199,10000,0.0,1.6,237
100,135.467336683,0.0280168634057,0.31753076555,199,10000,0.0,3.2,234
101,135.899497487,0.0276203757375,0.314898140135,199,10000,0.0,3.2,235
102,133.874371859,0.0278836353327,0.316651398024,199,10000,0.0,3.2,236
103,135.226130653,0.0276883063062,0.314072919425,199,10000,0.0,3.2,237
104,144.98046875,0.0183918630578,0.31719416955,256,10000,0.0,6.4,234
105,142.8828125,0.0186157839461,0.316875659054,256,10000,0.0,6.4,235
106,143.30078125,0.0185330523237,0.315768216837,256,10000,0.0,6.4,236
