,8,9,10,11,12
161,0.832008,0.837515,0.8441,0.850538,0.857816
162,0.832081,0.83757,0.844176,0.850709,0.857875
163,0.832165,0.837714,0.844274,0.850736,0.85794
164,0.832258,0.837842,0.844405,0.85088,0.858013
165,0.832281,0.837883,0.844452,0.850924,0.858272
166,0.832357,0.837941,0.844499,0.851079,0.858471
167,0.832464,0.838058,0.844519,0.85111,0.858646
168,0.832497,0.83808,0.844622,0.851205,0.85879
169,0.832532,0.838163,0.844781,0.851377,0.858862
170,0.83256,0.838299,0.84482,0.851514,0.85902
171,0.832669,0.838393,0.844903,0.851677,0.859143
172,0.832705,0.838421,0.84502,0.851708,0.859331
173,0.83282,0.838447,0.845061,0.851833,0.859463
174,0.832903,0.838538,0.845187,0.851885,0.859564
175,0.832993,0.838666,0.845249,0.852162,0.859652
176,0.833076,0.838727,0.8454,0.852269,0.859726
177,0.833111,0.838846,0.845411,0.852386,0.859747
178,0.833133,0.838968,0.845507,0.852514,0.859946
179,0.833176,0.839066,0.845591,0.852616,0.859982
180,0.833219,0.83915,0.845674,0.852639,0.860057
181,0.833333,0.839198,0.84581,0.852749,0.860224
182,0.833361,0.839309,0.845956,0.852875,0.860361
183,0.833512,0.839321,0.845979,0.852919,0.860375
184,0.833621,0.839438,0.845998,0.853064,0.860418
185,0.833733,0.839517,0.846026,0.853204,0.860456
186,0.833752,0.839539,0.846134,0.85324,0.860546
187,0.833845,0.839616,0.84629,0.85326,0.860684
188,0.833934,0.839661,0.846327,0.853347,0.860715
189,0.833987,0.839772,0.846437,0.853464,0.860729
190,0.834032,0.839791,0.84651,0.853488,0.860825
191,0.834073,0.839851,0.846548,0.853545,0.860853
192,0.834104,0.839987,0.84669,0.853678,0.860938
193,0.834153,0.840099,0.846801,0.853804,0.861007
194,0.834227,0.840216,0.846912,0.853876,0.86102
195,0.834285,0.840295,0.846958,0.853928,0.86114
196,0.834423,0.840382,0.846985,0.854009,0.861167
197,0.834449,0.840403,0.847089,0.85403,0.861291
198,0.834601,0.840445,0.847221,0.854045,0.86136
199,0.834688,0.84048,0.847245,0.854246,0.861436
200,0.834802,0.840506,0.847353,0.854306,0.861455
201,0.834869,0.84061,0.847391,0.854326,0.86149
202,0.834971,0.840648,0.847439,0.854361,0.861567
203,0.835008,0.840707,0.847546,0.854444,0.861717
204,0.835031,0.840719,0.847659,0.854471,0.861824
205,0.835049,0.840744,0.847706,0.854532,0.861997
206,0.835127,0.840781,0.847786,0.854586,0.862188
207,0.835174,0.840883,0.847877,0.854634,0.862388
208,0.83523,0.840967,0.847948,0.854731,0.862537
209,0.835314,0.841047,0.848068,0.854899,0.862663
210,0.835481,0.841146,0.84818,0.854974,0.862787
211,0.83555,0.841215,0.848278,0.855089,0.862891
212,0.835642,0.841255,0.848304,0.855115,0.862982
213,0.835698,0.841402,0.848448,0.85527,0.86309
214,0.835727,0.841482,0.848574,0.855406,0.863217
