,leaf_cnt_0,leaf_cnt_1,leaf_cnt_2,valid_loss
375,16,18,17,0.221352
376,18,18,18,0.22102
377,16,17,17,0.220778
378,18,18,18,0.220567
379,17,16,16,0.220371
380,16,18,17,0.22018
381,18,16,17,0.21978
382,16,18,17,0.219452
383,17,18,18,0.219144
384,16,18,17,0.218849
385,17,17,16,0.218527
386,17,17,17,0.218225
387,17,16,18,0.217892
388,17,16,16,0.217607
389,18,16,17,0.217299
390,15,17,18,0.21702
391,17,16,17,0.216715
392,17,17,16,0.216429
393,17,17,16,0.216137
394,17,16,15,0.215919
395,17,17,16,0.215766
396,16,16,16,0.215512
397,16,18,16,0.215147
398,17,17,17,0.214843
399,18,16,17,0.214577
400,16,16,16,0.214258
401,15,16,17,0.214085
402,16,16,15,0.213979
403,16,16,17,0.213671
404,16,14,17,0.213423
405,15,15,17,0.213181
406,16,17,16,0.21289
407,17,15,15,0.212672
408,17,15,15,0.212429
409,16,15,17,0.212182
410,16,15,17,0.211957
411,16,17,15,0.211706
412,17,14,16,0.21151
413,16,17,15,0.211281
414,16,14,15,0.211138
415,14,16,15,0.210839
416,16,15,16,0.21062
417,16,14,15,0.21041
418,16,15,17,0.210193
419,17,16,16,0.209893
420,16,16,17,0.209656
421,15,15,16,0.209457
422,17,15,15,0.209289
423,15,15,16,0.209107
424,16,16,14,0.208945
425,17,15,16,0.208675
426,16,15,15,0.208419
427,15,16,15,0.20823
428,14,14,14,0.20808
429,15,15,15,0.207861
430,16,15,15,0.207603
431,16,15,15,0.207354
432,16,16,14,0.20717
433,16,16,16,0.20695
434,14,15,15,0.206749
435,16,15,14,0.206474
436,16,13,15,0.206218
437,16,15,15,0.206024
438,13,14,14,0.205823
439,15,15,16,0.205581
440,14,16,17,0.205368
441,15,15,16,0.205198
442,15,16,16,0.205006
443,15,14,14,0.204773
444,16,15,14,0.204685
445,16,14,15,0.204403
446,15,16,15,0.204158
447,15,14,14,0.203979
448,15,15,16,0.203773
449,15,15,14,0.203574
450,15,15,14,0.203308
451,15,14,13,0.203097
452,15,14,15,0.202919
453,15,14,15,0.202751
454,15,13,16,0.202555
455,14,15,14,0.202368
456,15,14,15,0.202231
457,15,15,15,0.202005
458,14,14,14,0.201783
459,14,14,14,0.201573
460,17,14,15,0.201384
461,14,14,14,0.201141
462,14,14,15,0.200964
463,15,14,15,0.2008
464,13,15,14,0.200608
465,14,15,15,0.200381
466,15,14,14,0.200209
467,13,14,16,0.199945
468,15,15,15,0.199741
469,14,13,15,0.199504
470,15,14,15,0.199328
471,13,13,15,0.199171
472,15,14,15,0.198885
473,14,14,15,0.198725
474,15,14,15,0.198476
475,14,15,14,0.198279
476,14,14,15,0.198089
477,14,14,16,0.19791
478,16,15,13,0.197752
479,14,13,14,0.1975
480,13,13,15,0.197334
481,14,14,14,0.197083
